ISO-10303-21	\ST
HEADER	\HD
ENDSEC	\ED
DATA	\DA
FILE_DESCRIPTION	\FD
FILE_NAME	\FN
FILE_SCHEMA	\FS
PRODUCT_CONTEXT	\PC
PRODUCT	\PR
PRODUCT_DEFINITION_FORMATION	\PF
PRODUCT_DEFINITION_CONTEXT	\PJ
PRODUCT_DEFINITION	\PK
PRODUCT_DEFINITION_SHAPE	\PZ
PRODUCT_DEFINITION_FORMATION_WITH_SPECIFIED_SOURCE	\PW
PRODUCT_DEFINITION_USAGE	\PU
PRODUCT_CATEGORY	\PG
PRODUCT_RELATED_PRODUCT_CATEGORY	\PQ
PRODUCT_CATEGORY_RELATIONSHIP	\RL
PRODUCT_DEFINITION_SHAPE_RELATIONSHIP	\RR
NEXT_ASSEMBLY_USAGE_OCCURENCE	\NA
ASSEMBLY_COMPONENT_USAGE	\AU
SPECIFIED_HIGHER_USAGE_OCCURENCE	\SH
PROMISSORY_USAGE_OCCURENCE	\PO
QUANTIFIED_ASSEMBLY_COMPONENT_USAGE	\QA
MAKE_FROM_USAGE_OPTION	\MF
SHAPE_DEFINITION_REPRESENTATION	\SJ
ADVANCED_BREP_SHAPE_REPRESENTATION	\AB
SHAPE_REPRESENTATION	\SN
SHAPE_REPRESENTATION_RELATIONSHIP	\SK
REPRESENTATION	\RE
REPRESENTATION_CONTEXT	\RC
REPRESENTATION_RELATIONSHIP	\RQ
REPRESENTATION_MAP	\RM
MAPPED_ITEM	\MX
GEOMETRIC_REPRESENTATION_CONTEXT	\GC
GLOBAL_UNIT_ASSIGNED_CONTEXT	\GU
GLOBAL_UNCERTAINTY_ASSIGNED_CONTEXT	\GZ
APPLICATION_CONTEXT	\AC
APPLICATION_PROTOCOL_DEFINITION	\AP
ITEM_DEFINED_TRANSFORMATION	\IT
CARTESIAN_TRANSFORMATION_OPERATOR_3D	\CT
AXIS2_PLACEMENT_3D	\AX
AXIS2_PLACEMENT_2D	\AZ
AXIS1_PLACEMENT	\AY
CARTESIAN_POINT	\CP
DIRECTION	\DI
VECTOR	\VC
LINE	\LI
CIRCLE	\CI
ELLIPSE	\EL
TRIMMED_CURVE	\TC
COMPOSITE_CURVE	\CC
COMPOSITE_CURVE_SEGMENT	\CG
OFFSET_CURVE_3D	\OC
SURFACE_CURVE	\SV
SEAM_CURVE	\SC
INTERSECTION_CURVE	\IC
PCURVE	\PV
DEGENERATE_PCURVE	\DP
OUTER_BOUNDARY_CURVE	\OB
B_SPLINE_CURVE	\BK
B_SPLINE_CURVE_WITH_KNOTS	\BC
RATIONAL_B_SPLINE_CURVE	\RB
BEZIER_CURVE	\BZ
UNIFORM_CURVE	\UC
QUASI_UNIFORM_CURVE	\QU
BOUNDED_CURVE	\BV
PLANE	\PL
CYLINDRICAL_SURFACE	\CY
CONICAL_SURFACE	\CN
SPHERICAL_SURFACE	\SP
TOROIDAL_SURFACE	\TO
SURFACE_OF_REVOLUTION	\RV
SURFACE_OF_LINEAR_EXTRUSION	\SL
SPUN_SURFACE	\SZ
OFFSET_SURFACE	\OS
BOUNDED_SURFACE	\BD
B_SPLINE_SURFACE	\BF
B_SPLINE_SURFACE_WITH_KNOTS	\BS
RATIONAL_B_SPLINE_SURFACE	\RS
VERTEX_POINT	\VP
EDGE_CURVE	\EC
ORIENTED_EDGE	\OE
EDGE_LOOP	\EG
FACE_BOUND	\FB
FACE_OUTER_BOUND	\FO
ADVANCED_FACE	\AF
CLOSED_SHELL	\CH
OPEN_SHELL	\OX
ORIENTED_CLOSED_SHELL	\OZ
VERTEX_LOOP	\VL
POLY_LOOP	\PY
